Campaign,Ad Group,Keyword,Match Type,Max CPC
"Light & Medium Duty Towing","AG1: Emergency Towing — General","tow truck near me","Exact","35"
"Light & Medium Duty Towing","AG1: Emergency Towing — General","[tow truck near me]","Phrase","30"
"Light & Medium Duty Towing","AG1: Emergency Towing — General","tow truck near me","Broad","22"
"Light & Medium Duty Towing","AG1: Emergency Towing — General","emergency towing near me","Exact","38"
"Light & Medium Duty Towing","AG1: Emergency Towing — General","emergency tow truck","Exact","32"
"Light & Medium Duty Towing","AG1: Emergency Towing — General","towing service near me","Exact","28"
"Light & Medium Duty Towing","AG1: Emergency Towing — General","towing company near me","Exact","26"
"Light & Medium Duty Towing","AG1: Emergency Towing — General","24 hour towing near me","Exact","30"
"Light & Medium Duty Towing","AG1: Emergency Towing — General","24 hour towing service","Phrase","26"
"Light & Medium Duty Towing","AG1: Emergency Towing — General","car towing service near me","Phrase","25"
"Light & Medium Duty Towing","AG1: Emergency Towing — General","tow truck service","Phrase","24"
"Light & Medium Duty Towing","AG1: Emergency Towing — General","car broke down need tow","Phrase","20"
"Light & Medium Duty Towing","AG1: Emergency Towing — General","roadside towing","Phrase","18"
"Light & Medium Duty Towing","AG2: Flatbed Towing","flatbed tow truck near me","Exact","32"
"Light & Medium Duty Towing","AG2: Flatbed Towing","flatbed towing service","Phrase","28"
"Light & Medium Duty Towing","AG2: Flatbed Towing","flatbed tow truck","Phrase","25"
"Light & Medium Duty Towing","AG2: Flatbed Towing","flatbed towing near me","Exact","30"
"Light & Medium Duty Towing","AG2: Flatbed Towing","flatbed car towing","Phrase","22"
"Light & Medium Duty Towing","AG2: Flatbed Towing","flatbed tow service","Phrase","24"
"Light & Medium Duty Towing","AG2: Flatbed Towing","flatbed towing San Francisco","Exact","35"
"Light & Medium Duty Towing","AG2: Flatbed Towing","flatbed towing Bay Area","Phrase","30"
"Light & Medium Duty Towing","AG2: Flatbed Towing","AWD towing service","Phrase","28"
"Light & Medium Duty Towing","AG2: Flatbed Towing","all wheel drive tow truck","Phrase","26"
"Light & Medium Duty Towing","AG2: Flatbed Towing","Tesla towing near me","Exact","35"
"Light & Medium Duty Towing","AG2: Flatbed Towing","electric car towing","Phrase","30"
"Light & Medium Duty Towing","AG2: Flatbed Towing","EV towing service","Phrase","30"
"Light & Medium Duty Towing","AG3: Luxury & Exotic Car Towing","luxury car towing","Exact","40"
"Light & Medium Duty Towing","AG3: Luxury & Exotic Car Towing","exotic car towing","Exact","45"
"Light & Medium Duty Towing","AG3: Luxury & Exotic Car Towing","luxury car tow truck","Phrase","36"
"Light & Medium Duty Towing","AG3: Luxury & Exotic Car Towing","Porsche towing","Exact","38"
"Light & Medium Duty Towing","AG3: Luxury & Exotic Car Towing","Ferrari towing","Exact","45"
"Light & Medium Duty Towing","AG3: Luxury & Exotic Car Towing","Lamborghini towing","Exact","45"
"Light & Medium Duty Towing","AG3: Luxury & Exotic Car Towing","BMW towing service","Phrase","32"
"Light & Medium Duty Towing","AG3: Luxury & Exotic Car Towing","Mercedes towing service","Phrase","32"
"Light & Medium Duty Towing","AG3: Luxury & Exotic Car Towing","sports car towing","Phrase","32"
"Light & Medium Duty Towing","AG3: Luxury & Exotic Car Towing","high value car transport","Phrase","35"
"Light & Medium Duty Towing","AG3: Luxury & Exotic Car Towing","luxury vehicle transport SF","Phrase","38"
"Light & Medium Duty Towing","AG3: Luxury & Exotic Car Towing","white glove car towing","Phrase","30"
"Light & Medium Duty Towing","AG4: Motorcycle Towing","motorcycle towing near me","Exact","28"
"Light & Medium Duty Towing","AG4: Motorcycle Towing","motorcycle tow truck","Phrase","24"
"Light & Medium Duty Towing","AG4: Motorcycle Towing","motorcycle towing service","Phrase","24"
"Light & Medium Duty Towing","AG4: Motorcycle Towing","bike towing near me","Exact","22"
"Light & Medium Duty Towing","AG4: Motorcycle Towing","motorcycle breakdown towing","Phrase","24"
"Light & Medium Duty Towing","AG4: Motorcycle Towing","motorcycle transport","Phrase","20"
